uri,citation uri,label,item category,project label,published,updated,latitude,longitude,early bce/ce,late bce/ce,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Context (7),icon,Has type,Has type [URI],Consists of,Consists of [URI],License,License [URI],Spatial Coverage [dc-terms-spatial],Spatial Coverage [dc-terms-spatial] [URI],thumbnail,Temporal Coverage,Temporal Coverage [URI],Has taxonomic identifier,Has taxonomic identifier [URI],Coverage,Coverage [URI],Has type [cidoc-crm-p2-has-type],Has type [cidoc-crm-p2-has-type] [URI],Spatial Coverage,Spatial Coverage [URI],Subject,Subject [URI],Creator,Creator [URI],References,References [URI],project href,Contributor,Contributor [URI],context href,href,BFd,BFd [oc-zoo-bfd],BT,BT [oc-zoo-bt],Bd,Bd [oc-zoo-bd],Bp,Bp [oc-zoo-bp],CD,CD [oc-zoo-cd],DC,DC [oc-zoo-dc],DD,DD [oc-zoo-dd],Dd,Dd [oc-zoo-dd-2],Dl,Dl [oc-zoo-dl],Dp,Dp [oc-zoo-dp],GL,GL [oc-zoo-gl],Ld,Ld [oc-zoo-ld],Ll,Ll [oc-zoo-ll],SD,SD [oc-zoo-sd],Wikidata
http://opencontext.org/subjects/0e2852a1-e031-4598-c869-4fb04c285137,https://n2t.net/ark:/28722/k2pv6d865,Bone 18465,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T18:08:02Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 17609,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Capra,https://www.gbif.org/species/2441047,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c,https://opencontext.org/subjects/bc0997df-02b0-4e90-c1c4-6c602eed11b3,https://opencontext.org/subjects/0e2852a1-e031-4598-c869-4fb04c285137,,,,,6.7,6.7,,,108.3,108.3,,,,,24.2,24.2,,,,,18.0,18.0,,,,,8.3,8.3,
http://opencontext.org/subjects/6f7e02f6-4d28-49c0-3bd6-1e180de1e3aa,https://n2t.net/ark:/28722/k20002286,Bone 17828,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T18:05:30Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 15833,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Sheep or goat,https://eol.org/pages/32609438#gbif-sub,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c,https://opencontext.org/subjects/c6fb7878-a008-4bb3-331b-81c367505057,https://opencontext.org/subjects/6f7e02f6-4d28-49c0-3bd6-1e180de1e3aa,,,,,,,14.0,14.0,42.9,42.9,,,,,12.8,12.8,,,,,11.2,11.2,,,,,,,
http://opencontext.org/subjects/b2ac0346-f085-4055-cf24-65543454ba8e,https://n2t.net/ark:/28722/k2cf9m969,Bone 14996,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:55:23Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 13522,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Ovis,https://www.gbif.org/species/9531221,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell; Kamilla Pawlowska; David Orton,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c; http://opencontext.org/persons/c5f71c79-0395-4e6a-dfe9-52b2d5215113; http://opencontext.org/persons/2664c6a9-3867-4ec7-c7a6-f60c688e7008,https://opencontext.org/subjects/4892d0eb-684b-47e9-d810-f056b8f3dff1,https://opencontext.org/subjects/b2ac0346-f085-4055-cf24-65543454ba8e,,,,,,,15.2,15.2,34.0,34.0,,,,,25.9,25.9,,,,,19.4,19.4,,,,,,,
http://opencontext.org/subjects/7e3ab88a-8617-4881-aeef-970bbc149da1,https://n2t.net/ark:/28722/k24462t03,2018-84-015,Animal Bone,"The animal bones found in Vatnsvik, lake Þingvallavatn, Iceland",2019-10-16T03:29:37Z,2022-10-26T05:57:57Z,64.196338,-21.140901,1480.0,1650.0,Europe,Iceland,"Vatnsvik, Þingvallavatn",,,,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,https://artiraq.org/static/opencontext/vatnsvik-iceland-zooarch/thumbs/unninDSC01351.jpg,"Early modern, 1500-1700; Early modern period",https://n2t.net/ark:/99152/p06c6g39bvp; https://en.wikipedia.org/wiki/Early_modern,Bos taurus,https://www.gbif.org/species/2441022,,,Distal epiphysis fused,http://opencontext.org/vocabularies/open-context-zooarch/dist-epi-fused,Iceland; Þingvallavatn,https://www.geonames.org/2629691; https://www.geonames.org/3412647,Archaeology; Animal remains (Archaeology); Historical archaeology,https://id.loc.gov/authorities/subjects/sh85006507; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85006513,,,,,https://opencontext.org/projects/55c3110a-843f-445e-9de7-a8e529af038d,Albína H Pálsdóttir,http://opencontext.org/persons/4ecdbeb9-f578-474e-b232-fcccd0d8cf50,https://opencontext.org/subjects/c8d02916-1e71-48b2-88fa-b62cbac16b2b,https://opencontext.org/subjects/7e3ab88a-8617-4881-aeef-970bbc149da1,,,,,,,45.62,45.62,110.0,110.0,,,,,,,,,,,,,,,,,39.18,39.18,1.0
http://opencontext.org/subjects/c31ba1d0-30db-4280-037f-26355ba9fe0a,https://n2t.net/ark:/28722/k2rb6z55d,Bone 14941,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:55:07Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 13570,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Ovis,https://www.gbif.org/species/9531221,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Arzu Demirergi; Katheryn Twiss,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/bc38d35d-d019-440d-9441-b1a97ea2f259; http://opencontext.org/persons/7cdf91a1-3230-41fb-274a-e927734f8de6,https://opencontext.org/subjects/1add90ef-a2b6-4939-df0e-741b6d5bcd47,https://opencontext.org/subjects/c31ba1d0-30db-4280-037f-26355ba9fe0a,,,,,,,,,,,,,,,25.7,25.7,,,,,20.2,20.2,,,,,,,
http://opencontext.org/subjects/ea5c2aa6-8fb4-45f9-d1fb-4299f9750b9b,https://n2t.net/ark:/28722/k2fq9sc74,Bone 5436,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:22:42Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 7468,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Sheep or goat,https://eol.org/pages/32609438#gbif-sub,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell; Rebecca Daly,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c; http://opencontext.org/persons/7d16c346-8abe-4f83-89c2-ddd2405ae861,https://opencontext.org/subjects/fecc07be-8ed1-49ed-0eb3-7ccf3daf5caa,https://opencontext.org/subjects/ea5c2aa6-8fb4-45f9-d1fb-4299f9750b9b,,,,,6.8,6.8,,,,,,,,,,,,,,,,,,,,,13.9,13.9,
http://opencontext.org/subjects/bafe723a-351c-43bc-fe71-d5ba09c19bc0,https://n2t.net/ark:/28722/k2z894m25,Bone 9811,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:37:42Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 11738,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Sheep or goat,https://eol.org/pages/32609438#gbif-sub,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c,https://opencontext.org/subjects/2800ef8d-6704-4217-4a8a-cd75a090117d,https://opencontext.org/subjects/bafe723a-351c-43bc-fe71-d5ba09c19bc0,,,,,4.0,4.0,6.9,6.9,,,,,,,,,,,,,,,,,,,9.3,9.3,
http://opencontext.org/subjects/40b59746-c8c8-4e8e-4910-918f96c7e56c,https://n2t.net/ark:/28722/k25x27f7b,Bone 18464,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T18:08:01Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 17609,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Capra,https://www.gbif.org/species/2441047,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c,https://opencontext.org/subjects/bc0997df-02b0-4e90-c1c4-6c602eed11b3,https://opencontext.org/subjects/40b59746-c8c8-4e8e-4910-918f96c7e56c,,,,,23.9,23.9,,,,,,,,,19.3,19.3,,,,,,,,,,,,,
http://opencontext.org/subjects/5b16bd6a-f9af-4295-84b6-a0a0137095af,https://n2t.net/ark:/28722/k2mw2bj1q,Bone 14997,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:55:23Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 13522,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Ovis,https://www.gbif.org/species/9531221,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Nerissa Russell; Kamilla Pawlowska; David Orton,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/94aa8533-450d-4fc7-4dc1-3cb12a3fe52c; http://opencontext.org/persons/c5f71c79-0395-4e6a-dfe9-52b2d5215113; http://opencontext.org/persons/2664c6a9-3867-4ec7-c7a6-f60c688e7008,https://opencontext.org/subjects/4892d0eb-684b-47e9-d810-f056b8f3dff1,https://opencontext.org/subjects/5b16bd6a-f9af-4295-84b6-a0a0137095af,,,,,25.9,25.9,,,,,,,,,20.0,20.0,,,,,,,,,,,,,
http://opencontext.org/subjects/02b42b27-924e-4dd9-444f-95da5fd577ae,https://n2t.net/ark:/28722/k23f4nw9d,Bone 2562,Animal Bone,Çatalhöyük Area TP Zooarchaeology,2013-03-02T00:00:00Z,2022-10-25T17:12:40Z,37.668196,32.827191,-7400.0,-6000.0,Asia,Turkey,Çatalhöyük,Mound East,Area TP,Unit 7125,,https://opencontext.org/static/oc/icons-v2/noun-camel-4109324.svg,tibia,http://purl.obolibrary.org/obo/UBERON_0000979,animal material,https://vocab.getty.edu/aat/300011793,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0,,,,,,Ovis,https://www.gbif.org/species/9531221,Neolithic,https://id.loc.gov/authorities/subjects/sh85090768,Has fusion character,http://opencontext.org/vocabularies/open-context-zooarch/has-fusion-char,Turkey; Çatalhöyük,https://www.geonames.org/298795; https://www.geonames.org/6940561,Mammal remains (archaeology); Animal remains (Archaeology); Subsistence economy,https://id.loc.gov/authorities/subjects/sh2005020452; https://id.loc.gov/authorities/subjects/sh85005230; https://id.loc.gov/authorities/subjects/sh85129537,Arek Marciniak,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83,,,https://opencontext.org/projects/02594c48-7497-40d7-11ae-ab942dc513b8,Arek Marciniak; Kamilla Pawlowska,http://opencontext.org/persons/fd2d702f-1ec6-4865-cccc-da8af166cc83; http://opencontext.org/persons/c5f71c79-0395-4e6a-dfe9-52b2d5215113,https://opencontext.org/subjects/712be58a-65b8-4773-7a13-e1062b74e73c,https://opencontext.org/subjects/02b42b27-924e-4dd9-444f-95da5fd577ae,,,,,25.2,25.2,,,46.0,46.0,,,,,,,,,,,,,,,,,14.4,14.4,
